Author_clean,nb_downl,nb_pages,Students,nb_works,h_index,nb_cit,vn_award,clark,nobel,top10_shangai_yn,usa_yn,descri_len,len_work
Enrique G. Mendoza,1346,1490,9.0,240,35,5571,0,0,0,0,1,12.0,6.0
Simon Johnson,1342,1348,1.0,141,30,10542,0,0,0,0,1,11.0,10.0
John B. Taylor,1325,1421,3.5,252,33,9344,0,0,0,1,1,22.0,6.0
David N. Weil,1318,833,4.0,163,28,9280,0,0,0,0,1,11.0,5.0
David F. Hendry,1309,2787,8.5,303,38,5888,0,0,0,0,0,11.0,9.0
Joshua Aizenman,1286,3035,4.5,531,35,3729,0,0,0,0,1,13.0,6.0
Sebastian Galiani,1281,1493,2.0,222,20,1815,0,0,0,0,1,12.0,7.0
James E. Anderson,1276,1070,10.0,218,22,6058,0,0,0,0,1,12.0,5.0
Richard J. Zeckhauser,1265,2835,1.5,390,33,5284,0,0,0,1,1,26.0,7.0
Mark Armstrong,1259,971,4.5,121,28,2714,0,0,0,0,0,10.0,8.0
Stefan Szymanski,1253,1089,0.5,124,20,1297,0,0,0,0,0,2.0,9.0
Lawrence F. Katz,1247,1819,43.0,240,52,12052,0,0,0,1,1,11.0,8.0
Martin S. Feldstein,1235,2715,4.5,543,47,8870,0,1,0,0,0,4.0,5.0
Victor Chernozhukov,1232,1352,2.5,292,27,3048,0,0,0,1,1,12.0,5.0
Dirk Krueger,1210,764,9.5,192,25,2500,0,0,0,0,1,16.0,4.0
Wilbert H,1189,861,1.0,160,20,2092,0,0,0,0,1,21.0,5.0
James R. Markusen,1184,1454,1.5,194,40,7895,0,0,0,0,1,12.0,7.0
Anthony Barnes,1163,2211,4.5,278,36,8083,0,0,0,0,0,4.0,8.0
Lars E. O.,1153,2214,1.5,375,47,8422,0,0,0,0,0,9.0,6.0
Keith Head,1146,906,0.5,175,29,4742,0,0,0,0,0,17.0,5.0
Morten Orregaard,1143,1156,1.0,160,20,1143,0,0,0,0,0,9.0,7.0
Paul William Glewwe,1139,1374,4.5,149,23,2271,0,0,0,0,1,22.0,9.0
Jan K. Brueckner,1135,2335,2.0,232,37,4170,0,0,0,0,1,12.0,10.0
Lars P. Feld,1131,2110,1.0,328,22,2036,0,0,0,0,0,8.0,6.0
Rudiger Dornbusch,1102,2091,15.0,235,31,5354,0,0,0,0,0,3.0,9.0
B. Douglas Bernheim,1090,1654,2.5,163,35,6497,0,0,0,1,1,11.0,10.0
Jess Benhabib,1089,1699,2.0,218,32,5949,0,0,0,1,1,15.0,8.0
Paul Milgrom,1088,1272,11.0,147,41,13324,0,0,0,1,1,10.0,9.0
Hal Ronald,1082,783,3.5,114,27,4261,0,0,0,1,1,12.0,7.0
Avinash Kamalakar,1072,1738,2.5,189,38,10676,0,0,0,1,1,12.0,9.0
Emmanuel Farhi,1062,1524,4.0,216,28,2670,0,0,0,1,1,10.0,7.0
Mauro Gallegati,1060,2776,1.5,269,24,2081,0,0,0,0,0,16.0,10.0
Magne Mogstad,1058,937,1.0,162,21,1443,0,0,0,1,1,11.0,6.0
Vernon L. Smith,1058,2338,3.0,244,38,5591,0,0,1,0,1,18.0,10.0
Johannes Van,1057,901,2.5,131,15,1522,0,0,0,0,0,15.0,7.0
Peter Howitt,1056,1343,3.5,152,32,7874,0,0,0,0,1,10.0,9.0
Thomas Lemieux,1053,1428,1.5,147,28,6596,0,0,0,0,0,12.0,10.0
William J. Baumol,1047,2083,1.0,268,28,6279,0,0,0,0,0,4.0,8.0
Klaus F. Zimmermann,1045,2855,16.5,645,30,3254,0,0,0,0,0,16.0,4.0
Marie Claire,1038,1467,1.0,795,19,1732,0,0,0,0,0,19.0,2.0
Michael Gerald,1036,1408,0.5,364,26,2342,0,0,0,0,0,16.0,4.0
Peter A. Diamond,1032,1972,7.5,214,37,7159,0,0,1,1,1,13.0,9.0
Evzen Kocenda,1021,1678,8.0,235,19,1110,0,0,0,0,0,12.0,7.0
Anthony Philip,1021,1443,1.0,128,17,1398,0,0,0,0,0,12.0,11.0
Christopher B. Barrett,1015,2837,16.0,357,37,5262,0,0,0,0,1,18.0,8.0
Dean S. Karlan,1007,1285,1.5,356,30,3676,0,0,0,0,1,13.0,4.0
Jan-Egbert Sturm,1005,5924,4.0,365,26,2382,0,0,0,0,0,20.0,16.0
Stefan Dercon,1003,1669,9.5,212,28,3122,0,0,0,0,0,18.0,8.0
Michael Fritsch,996,1567,12.0,304,31,2700,0,0,0,0,0,8.0,5.0
Andrew B. Bernard,983,908,0.5,252,38,8592,0,0,0,0,1,13.0,4.0
Jose-Victor Rios-Rull,981,1221,15.0,153,27,3230,0,0,0,0,1,11.0,8.0
Juan F,979,995,3.0,211,28,2836,0,0,0,0,1,11.0,5.0
John Muellbauer,977,1413,3.0,189,24,4429,0,0,0,0,0,10.0,7.0
Michael Grossman,969,1000,8.0,184,30,5071,0,1,0,0,1,27.0,5.0
Oliver D. Hart,966,835,4.5,161,37,11040,0,0,1,1,1,11.0,5.0
Michel Beine,958,1264,0.5,223,23,1905,0,0,0,0,0,21.0,6.0
Harry P. Huizinga,940,1142,0.5,233,27,3450,0,0,0,0,0,16.0,5.0
Christophe Hurlin,931,878,4.0,214,16,1213,0,0,0,0,0,17.0,4.0
Pierre Pestieau,925,4211,2.5,940,28,3072,0,0,0,0,0,27.0,4.0
Soren Johansen,923,1083,8.0,173,26,17598,0,0,0,0,0,8.0,6.0
Andrew Michael,922,1639,13.5,237,27,2260,0,0,0,0,0,15.0,7.0
Lars Peter,917,1715,25.5,166,40,10612,0,0,0,1,1,12.0,10.0
Pierre-Philippe Combes,917,1143,2.0,268,23,2566,0,0,0,0,0,26.0,4.0
Dirk Bergemann,908,1239,5.5,302,21,1436,0,0,0,1,1,10.0,4.0
Ariel Pakes,907,1248,14.5,145,31,7491,0,0,0,1,1,10.0,9.0
Almas Heshmati,905,1855,0.5,291,17,1238,0,0,0,0,0,9.0,6.0
Franco Modigliani,905,1166,3.0,113,19,2509,0,0,1,1,1,16.0,10.0
Gerard Roland,903,1228,2.0,195,32,3707,0,0,0,1,1,11.0,6.0
Rachel Griffith,895,1324,1.0,186,29,5762,0,0,0,0,0,11.0,7.0
Timo Terasvirta,888,1285,6.0,218,29,3610,0,0,0,0,0,29.0,6.0
Willem Hendrik Buiter,885,2265,1.5,363,25,2353,0,0,0,1,1,33.0,6.0
Paul Leslie,874,2036,2.0,263,19,1365,0,0,0,0,0,12.0,8.0
Ellen R. McGrattan,871,868,2.0,181,28,3804,0,0,0,0,1,12.0,5.0
Mark P. Taylor,869,2410,2.0,265,41,7524,0,0,0,0,1,16.0,9.0
Drew Fudenberg,865,2432,13.5,366,43,7888,0,0,0,1,1,12.0,7.0
Valerie Mignon,852,1629,2.0,351,22,1614,0,0,0,0,0,9.0,5.0
Allan Timmermann,852,1598,3.5,191,44,5763,0,0,0,0,1,14.0,8.0
Stephen Morris,838,1877,3.0,397,31,4290,0,0,0,1,1,12.0,5.0
Edward Andrew,837,1082,7.5,156,29,3846,0,0,0,1,1,12.0,7.0
Arthur Lewbel,836,1365,10.0,190,27,2823,0,0,0,0,1,11.0,7.0
Richard R. Nelson,834,1278,1.5,131,34,6194,0,0,0,1,1,18.0,10.0
Henry G. Overman,834,766,1.5,221,25,2322,0,0,0,1,0,16.0,3.0
Robin W. Boadway,832,2568,3.5,328,24,2480,0,0,0,0,0,9.0,8.0
David M,831,1867,0.5,313,25,3036,0,0,0,0,0,16.0,6.0
Jeffrey Andrew,831,965,16.5,113,26,4518,0,0,0,0,1,11.0,9.0
Jeremy C. Stein,812,1215,3.0,156,47,11395,0,0,0,1,1,11.0,8.0
Douglas Gale,811,1554,6.0,183,33,4577,0,0,0,1,1,15.0,8.0
Stephen John,810,1582,9.0,190,36,9454,0,0,0,0,0,22.0,8.0
Eswar Prasad Charles,809,1314,2.0,205,33,4644,0,0,0,0,1,17.0,6.0
Roger B. Myerson,802,1295,6.0,147,25,4184,0,0,1,1,1,14.0,9.0
James Andreoni,800,952,7.0,173,38,8531,0,0,0,0,1,14.0,6.0
Paul Klemperer,797,883,2.0,126,29,5400,0,0,0,0,0,2.0,7.0
Paul Frijters,797,1137,3.0,215,21,4020,0,0,0,1,0,14.0,5.0
Michael Greenstone,794,1246,3.0,129,29,3396,0,0,0,1,1,11.0,10.0
Jonathan Eaton,789,1160,3.0,181,32,6820,0,0,0,0,1,12.0,6.0
Steven N. Durlauf,784,1268,21.0,217,32,5619,0,0,0,1,1,14.0,6.0
James M. Buchanan,783,1562,2.0,194,20,1896,0,0,1,0,0,16.0,8.0
Paul J. Devereux,779,766,2.5,176,23,2553,0,0,0,0,0,11.0,4.0
Loren Brandt,777,932,2.0,117,21,1741,0,0,0,0,0,10.0,8.0
Fabio Canova,774,1581,7.5,213,36,4483,0,0,0,0,0,9.0,7.0
Jens Suedekum,770,1008,2.0,209,17,993,0,0,0,0,0,14.0,5.0
Pierre Mohnen,768,1191,1.0,258,21,1901,0,0,0,0,0,15.0,5.0
Patrick Rey,766,1236,4.0,183,26,2336,0,0,0,0,0,13.0,7.0
Michael Pfaffermayr,766,1658,3.0,200,19,1545,0,0,0,0,0,11.0,8.0
Joseph G. Altonji,763,926,5.0,112,30,4841,0,0,0,1,1,11.0,8.0
Kenneth D. West,763,985,9.5,175,28,9709,0,0,0,0,1,11.0,6.0
Yin-Wong Cheung,760,1979,1.0,282,32,3881,0,0,0,0,0,15.0,7.0
Fabrizio Zilibotti,760,1207,2.0,226,31,3649,0,0,0,1,1,10.0,5.0
Paul Beaudry,759,1559,6.5,184,23,2235,0,0,0,0,0,12.0,8.0
Reinhilde Veugelers,745,1596,2.5,214,24,2862,0,0,0,0,0,15.0,7.0
Charles F. Manski,736,1939,3.0,248,35,6238,0,0,0,0,1,20.0,8.0
Robert Ernest,734,1689,4.5,215,36,11073,0,0,0,1,1,11.0,8.0
Yann Algan,733,930,2.0,246,22,1623,0,0,0,0,0,11.0,4.0
Andrei A. Levchenko,723,900,7.0,158,21,1812,0,0,0,0,1,12.0,6.0
James Bullard Research,715,1217,0.5,454,19,1468,0,0,0,0,1,14.0,3.0
Lucio Sarno,714,2014,2.5,190,33,4661,0,0,0,0,0,11.0,11.0
Claudia Goldin,709,1280,4.0,207,33,4520,0,0,0,1,1,10.0,6.0
Kaushik Basu,706,1509,15.0,261,23,2319,0,0,0,0,1,11.0,6.0
Matthieu Bussiere,703,794,2.5,124,23,1454,0,0,0,0,0,7.0,6.0
Jeroen C.J.M. van,701,2205,1.0,253,25,2404,0,0,0,0,0,23.0,9.0
Carlo Favero,700,1109,0.5,203,27,2436,0,0,0,0,0,11.0,5.0
Kjetil Storesletten,695,879,3.0,114,23,2528,0,0,0,0,0,9.0,8.0
Edward E. Leamer,695,1092,4.0,133,27,3066,0,0,0,0,1,32.0,8.0
Raouf Boucekkine,691,1368,16.5,475,18,1366,0,0,0,0,0,17.0,3.0
Hans-Joachim Voth,690,943,2.5,180,18,1049,0,0,0,0,0,23.0,5.0
James R. Hines,685,979,10.0,175,31,3332,0,0,0,0,1,12.0,6.0
Gilles Saint-Paul,685,4500,13.0,538,21,2400,0,0,0,0,0,8.0,8.0
Robert Moffitt,684,1900,5.0,224,35,4564,0,0,0,0,1,11.0,8.0
Christopher D,683,868,7.5,166,32,4513,0,0,0,0,1,20.0,5.0
Francine Blau,680,992,2.0,125,28,3178,0,0,0,0,1,11.0,8.0
Piet Rietveld,680,3427,14.0,465,29,3294,0,0,0,0,0,3.0,7.0
Stephen J,679,5501,5.0,423,34,3721,0,0,0,0,1,12.0,13.0
Carlos A. Vegh,677,894,1.5,146,29,3795,0,0,0,0,1,19.0,6.0
Volker Wieland,677,883,1.5,227,25,2553,0,0,0,0,0,13.0,4.0
Michele Boldrin Department,676,919,8.0,151,23,2423,0,0,0,0,1,14.0,6.0
Andrew W. Lo,675,1477,0.5,140,31,5604,0,0,0,1,1,15.0,11.0
Ronald MacDonald,669,2613,1.0,341,31,3252,0,0,0,0,0,15.0,8.0
Rudolf Winter-Ebmer,669,1167,1.5,299,25,1859,0,0,0,0,0,9.0,4.0
Stephen Cecchetti,668,1188,2.0,173,34,3731,0,0,0,0,1,13.0,7.0
Ariel Rubinstein,667,1066,1.0,220,34,5535,0,0,0,0,0,13.0,5.0
Nicola Gennaioli,665,1035,0.5,154,21,1905,0,0,0,0,0,11.0,7.0
Alvin E. Roth,664,2174,9.0,232,40,6263,1,0,1,1,1,11.0,9.0
Lee Edward,663,895,13.5,141,23,2416,0,0,0,0,1,15.0,6.0
Menzie Chinn Robert,662,1580,0.5,281,38,5776,0,0,0,0,1,16.0,6.0
Pranab K. Bardhan,654,1305,2.5,204,26,3100,0,0,0,1,1,12.0,6.0
Bruno Jullien,652,1098,7.0,175,19,1772,0,0,0,0,0,9.0,6.0
Cheng Hsiao,652,1825,2.5,179,23,2707,0,0,0,0,1,13.0,10.0
Laurence J. Kotlikoff,649,1681,3.0,388,33,4314,0,0,0,0,1,11.0,4.0
David de,648,1771,11.5,358,23,2093,0,0,0,0,0,29.0,5.0
Martin F. Hellwig,648,1586,16.0,211,22,2625,0,0,0,0,0,11.0,8.0
Jeffrey Gale,648,1411,4.0,243,28,2819,0,0,0,0,0,3.0,6.0
Giorgio Brunello,648,1551,1.0,234,25,1930,0,0,0,0,0,15.0,7.0
Ottmar Edenhofer,642,1393,9.0,156,18,1314,0,0,0,0,0,22.0,9.0
Robert Owen,639,1511,1.0,177,27,2813,0,0,0,1,1,11.0,9.0
Maitreesh Ghatak,637,1057,5.0,136,21,2038,0,0,0,1,0,12.0,8.0
Thomas Warren,632,2359,4.5,404,25,3108,0,0,0,0,1,19.0,6.0
Thierry A. Verdier,629,2029,10.0,416,32,4164,0,0,0,0,0,9.0,5.0
L. Alan Winters,627,1584,4.0,240,25,2275,0,0,0,0,0,15.0,7.0
Roberto Rigobon,624,975,1.5,130,30,3112,0,0,0,1,1,22.0,8.0
Imran Rasul,623,1319,5.0,145,25,2440,0,0,0,0,0,12.0,9.0
Carol Propper,622,1563,3.5,254,24,1836,0,0,0,0,0,9.0,6.0
Paul Gertler Walter,621,918,1.0,122,22,2251,0,0,0,1,1,14.0,8.0
Martin Georg,616,895,2.0,225,25,2019,0,0,0,0,0,10.0,4.0
Matthew O. Jackson,614,2629,3.5,264,40,4866,1,0,0,1,1,11.0,10.0
Joel Waldfogel,614,1257,2.0,128,23,1594,0,0,0,0,1,12.0,10.0
Elisabeth Sadoulet,610,1914,2.5,260,25,2748,0,0,0,1,1,14.0,7.0
Helmuth Cremer,610,2694,2.0,531,28,2893,0,0,0,0,0,28.0,5.0
Juergen von,609,1653,8.5,265,31,3059,0,0,0,0,0,12.0,6.0
David M. Cutler,605,782,8.5,248,30,4057,0,0,0,1,1,11.0,3.0
Jean-Jacques Laffont,602,3556,8.5,328,43,7367,0,0,0,0,0,3.0,11.0
